date,county,fips,re_mean,re_CI95l,re_CI95u
2020-06-09,Orange County,6059,1.4239805943471326,1.1866438528532146,1.7978580284145569
2020-06-10,Orange County,6059,1.4229833517531423,1.1858377505608146,1.7966735871676065
2020-06-11,Orange County,6059,1.4219861091591521,1.1850316482684147,1.7954891459206563
2020-06-12,Orange County,6059,1.4209888665651618,1.1842255459760147,1.794304704673706
2020-06-13,Orange County,6059,1.419890818608209,1.1836963423244524,1.7927767348832087
2020-06-14,Orange County,6059,1.4187927706512566,1.1831671386728904,1.7912487650927114
2020-06-15,Orange County,6059,1.417694722694304,1.182637935021328,1.789720795302214
2020-06-16,Orange County,6059,1.4166050972332342,1.1820038302794724,1.7881671981640095
2020-06-17,Orange County,6059,1.4155154717721645,1.1813697255376168,1.7866136010258047
2020-06-18,Orange County,6059,1.4144258463110948,1.180735620795761,1.7850600038876001
2020-06-19,Orange County,6059,1.0530050569310605,0.8140450542040389,1.3693099768204537
2020-06-20,Orange County,6059,0.6915842675510262,0.44735448761231666,0.9535599497533072
2020-06-21,Orange County,6059,0.6911950226306083,0.4472082902151482,0.9526869237698242
2020-06-22,Orange County,6059,0.6908057777101904,0.44706209281797965,0.9518138977863412
2020-06-23,Orange County,6059,0.6904165327897724,0.44691589542081117,0.9509408718028582
2020-06-24,Orange County,6059,0.6899776424427084,0.44676143508288935,0.9496855683279203
2020-06-25,Orange County,6059,0.6895387520956445,0.44660697474496747,0.9484302648529823
2020-06-26,Orange County,6059,0.6890998617485805,0.44645251440704564,0.9471749613780444
2020-06-27,Orange County,6059,0.68864943994685,0.44629904526994724,0.9460646197280481
2020-06-28,Orange County,6059,0.6881990181451194,0.44614557613284883,0.9449542780780518
2020-06-29,Orange County,6059,0.6877485963433889,0.4459921069957504,0.9438439364280555
2020-06-30,Orange County,6059,0.6873186407008419,0.44583927377723337,0.9429182414345366
2020-07-01,Orange County,6059,0.686888685058295,0.4456864405587163,0.9419925464410177
2020-07-02,Orange County,6059,0.686458729415748,0.44553360734019926,0.9410668514474988
2020-07-03,Orange County,6059,0.6859900136864897,0.4453888103297803,0.9400823991186594
2020-07-04,Orange County,6059,0.6855212979572313,0.44524401331936136,0.93909794678982
2020-07-05,Orange County,6059,0.6850525822279729,0.4450992163089424,0.9381134944609806
2020-07-06,Orange County,6059,0.684568009764189,0.4449637174570165,0.9370341927335077
